INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
2001-049MS,27502,DEBRIS,PSLV DEB,IND,2001-10-22,SRI,2005-11-10,88.64,97.65,209,205,,,0,SMALL,5942,2001,49,MS,Y,PSLV DEB,2001-049MS,27502
1999-057JT,26422,DEBRIS,CZ-4 DEB,PRC,1999-10-14,TSC,2005-11-08,88.86,98.35,222,214,,,0,SMALL,5942,1999,57,JT,Y,CZ-4 DEB,1999-057JT,26422
1993-014J,28281,DEBRIS,SL-18 DEB,CIS,1993-03-25,PKMTR,2005-11-08,94.01,75.74,475,467,,,0,SMALL,5942,1993,14,J,Y,SL-18 DEB,1993-014J,28281
1974-089CE,8402,DEBRIS,THORAD DELTA 1 DEB,US,1974-11-15,AFWTR,2005-11-05,90.94,101.83,338,303,,,0,SMALL,5942,1974,89,CE,Y,THORAD DELTA 1 DEB,1974-089CE,8402
2002-037AN,28743,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-11-04,89.46,63.69,292,204,,,0,SMALL,5942,2002,37,AN,Y,SL-12 DEB,2002-037AN,28743
2002-037BV,28861,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-11-04,89.68,62.89,289,228,,,0,SMALL,5942,2002,37,BV,Y,SL-12 DEB,2002-037BV,28861
2001-049PG,28854,DEBRIS,PSLV DEB,IND,2001-10-22,SRI,2005-11-03,90.1,97.66,306,253,,,0,SMALL,5942,2001,49,PG,Y,PSLV DEB,2001-049PG,28854
2001-049NM,28383,DEBRIS,PSLV DEB,IND,2001-10-22,SRI,2005-11-01,91.37,97.7,356,328,,,0,SMALL,5942,2001,49,NM,Y,PSLV DEB,2001-049NM,28383
2001-004D,27766,DEBRIS,DELTA 2 DEB,US,2001-01-30,AFETR,2005-10-27,93.55,38.59,769,127,,,0,SMALL,5942,2001,4,D,Y,DELTA 2 DEB,2001-004D,27766
2005-037C,28873,DEBRIS,MINOTAUR DEB,US,2005-09-23,AFWTR,2005-10-26,87.63,96.32,162,153,,,0,MEDIUM,5942,2005,37,C,Y,MINOTAUR DEB,2005-037C,28873
2005-040B,28880,ROCKET BODY,CZ-2F R/B,PRC,2005-10-12,JSC,2005-10-26,87.35,42.4,154,132,,,0,LARGE,5942,2005,40,B,Y,CZ-2F R/B,2005-040B,28880
2002-037BK,28764,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-10-24,89.81,63.35,300,230,,,0,SMALL,5942,2002,37,BK,Y,SL-12 DEB,2002-037BK,28764
1967-048E,23562,DEBRIS,TRANSIT 16 DEB,US,1967-05-18,AFWTR,2005-10-22,90.84,89.46,330,301,,,0,SMALL,5942,1967,48,E,Y,TRANSIT 16 DEB,1967-048E,23562
2005-022B,28703,ROCKET BODY,BLOCK DM-SL R/B,SEAL,2005-06-23,SEAL,2005-10-20,105.29,0.15,1885,131,,,0,LARGE,6929,2005,22,B,Y,BLOCK DM-SL R/B,2005-022B,28703
1998-077H,25600,ROCKET BODY,SL-12 R/B(AUX MOTOR),CIS,1998-12-30,TTMTR,2005-10-19,90.16,63.75,470,95,,,0,MEDIUM,5942,1998,77,H,Y,SL-12 R/B(AUX MOTOR),1998-077H,25600
2004-042B,28452,ROCKET BODY,CZ-3A R/B,PRC,2004-10-19,XSC,2005-10-17,88.91,26.86,323,118,,,0,MEDIUM,5942,2004,42,B,Y,CZ-3A R/B,2004-042B,28452
1983-022K,28604,DEBRIS,NOAA 8 DEB,US,1983-03-28,AFWTR,2005-10-17,91.7,99.07,375,341,,,0,SMALL,5942,1983,22,K,Y,NOAA 8 DEB,1983-022K,28604
2005-033A,28824,PAYLOAD,FSW-3 5,PRC,2005-08-29,JSC,2005-10-17,86.99,62.98,130,121,,,0,LARGE,5942,2005,33,A,Y,FSW-3 5,2005-033A,28824
2005-027A,28776,PAYLOAD,FSW-3 4,PRC,2005-08-02,JSC,2005-10-16,87.02,62.98,135,119,,,0,LARGE,5942,2005,27,A,Y,FSW-3 4,2005-027A,28776
2005-034A,28841,PAYLOAD,COSMOS 2415,CIS,2005-09-02,TTMTR,2005-10-16,89.65,64.88,310,205,,,0,LARGE,5942,2005,34,A,Y,COSMOS 2415,2005-034A,28841
2005-040A,28879,PAYLOAD,SZ-6,PRC,2005-10-12,JSC,2005-10-16,91.21,42.41,338,331,,,0,LARGE,5942,2005,40,A,Y,SZ-6,2005-040A,28879
2005-040D,28882,DEBRIS,CZ-2F DEB,PRC,2005-10-12,JSC,2005-10-15,89.84,42.54,358,175,,,0,SMALL,5942,2005,40,D,Y,CZ-2F DEB,2005-040D,28882
1999-060B,25955,ROCKET BODY,ARIANE 44LP R/B,FR,1999-11-13,FRGUI,2005-10-15,90.74,6.19,522,100,,,0,LARGE,6281,1999,60,B,Y,ARIANE 44LP R/B,1999-060B,25955
1970-028C,14814,DEBRIS,COSMOS 332 DEB *,CIS,1970-04-11,PKMTR,2005-10-15,88.13,73.97,190,174,,,0,SMALL,5942,1970,28,C,Y,COSMOS 332 DEB *,1970-028C,14814
2005-040C,28881,DEBRIS,CZ-2F DEB,PRC,2005-10-12,JSC,2005-10-14,88.92,42.6,274,168,,,0,SMALL,5942,2005,40,C,Y,CZ-2F DEB,2005-040C,28881
2005-013A,28640,PAYLOAD,SOYUZ-TMA 6,CIS,2005-04-15,TTMTR,2005-10-11,91.49,51.64,349,347,,,0,LARGE,5942,2005,13,A,Y,SOYUZ-TMA 6,2005-013A,28640
1973-098C,6967,DEBRIS,SL-8 DEB,CIS,1973-12-04,PKMTR,2005-10-11,88.58,74.02,208,200,,,0,SMALL,5942,1973,98,C,Y,SL-8 DEB,1973-098C,6967
2002-037BC,28757,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-10-09,88.85,63.4,245,190,,,0,SMALL,5942,2002,37,BC,Y,SL-12 DEB,2002-037BC,28757
2002-037AJ,28733,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-10-07,89.47,63.59,265,232,,,0,SMALL,5942,2002,37,AJ,Y,SL-12 DEB,2002-037AJ,28733
2002-037AH,28732,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-10-05,90.01,63.36,324,226,,,0,SMALL,5942,2002,37,AH,Y,SL-12 DEB,2002-037AH,28732
2005-039B,28878,ROCKET BODY,SL-4 R/B,CIS,2005-10-01,TTMTR,2005-10-04,87.52,51.64,154,150,,,0,LARGE,5942,2005,39,B,Y,SL-4 R/B,2005-039B,28878
2002-037AK,28734,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-10-03,88.64,63.74,234,180,,,0,SMALL,5942,2002,37,AK,Y,SL-12 DEB,2002-037AK,28734
2002-037AL,28735,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-10-03,89.48,63.28,284,214,,,0,SMALL,5942,2002,37,AL,Y,SL-12 DEB,2002-037AL,28735
2002-037AP,28744,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-10-01,88.5,63.77,231,170,,,0,SMALL,5942,2002,37,AP,Y,SL-12 DEB,2002-037AP,28744
2004-052C,28507,PAYLOAD,MS 1-TK (MIKRON),UKR,2004-12-24,PKMTR,2005-09-30,87.45,82.51,151,144,,,0,MEDIUM,6380,2004,52,C,Y,MS 1-TK (MIKRON),2004-052C,28507
2002-037AM,28736,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-09-28,89.66,63.53,283,233,,,0,SMALL,5942,2002,37,AM,Y,SL-12 DEB,2002-037AM,28736
1991-082T,28306,DEBRIS,DMSP 5D-2 F11 DEB,US,1991-11-28,AFWTR,2005-09-21,93.56,98.6,469,428,,,0,SMALL,5942,1991,82,T,Y,DMSP 5D-2 F11 DEB,1991-082T,28306
2002-037BU,28860,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-09-18,89.97,63.16,323,223,,,0,SMALL,5942,2002,37,BU,Y,SL-12 DEB,2002-037BU,28860
1991-047F,26793,DEBRIS,DELTA 2 DEB,US,1991-07-04,AFETR,2005-09-17,89.75,34.56,397,127,,,0,SMALL,5942,1991,47,F,Y,DELTA 2 DEB,1991-047F,26793
2002-037BM,28766,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-09-16,88.24,63.87,209,165,,,0,SMALL,5942,2002,37,BM,Y,SL-12 DEB,2002-037BM,28766
2005-032B,28823,ROCKET BODY,SL-19 R/B,CIS,2005-08-26,PKMTR,2005-09-13,87.07,97.73,154,105,,,0,LARGE,5942,2005,32,B,Y,SL-19 R/B,2005-032B,28823
2005-033D,28827,ROCKET BODY,CZ-2D R/B,PRC,2005-08-29,JSC,2005-09-12,86.98,62.95,128,122,,,0,LARGE,5942,2005,33,D,Y,CZ-2D R/B,2005-033D,28827
1991-062A,21694,PAYLOAD,YOHKOH (SOLAR A),JPN,1991-08-30,KSCUT,2005-09-12,87.67,31.29,159,159,,,0,LARGE,5942,1991,62,A,Y,YOHKOH (SOLAR A),1991-062A,21694
2005-035B,28867,ROCKET BODY,SL-4 R/B,CIS,2005-09-08,TTMTR,2005-09-11,87.17,51.63,138,130,,,0,LARGE,5942,2005,35,B,Y,SL-4 R/B,2005-035B,28867
2005-034B,28842,ROCKET BODY,SL-4 R/B,CIS,2005-09-02,TTMTR,2005-09-09,87.23,64.86,150,125,,,0,LARGE,5942,2005,34,B,Y,SL-4 R/B,2005-034B,28842
2005-021A,28700,PAYLOAD,PROGRESS-M 53,CIS,2005-06-16,TTMTR,2005-09-07,91.57,51.64,353,350,,,0,LARGE,5942,2005,21,A,Y,PROGRESS-M 53,2005-021A,28700
2002-037AF,28730,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-09-05,88.79,63.59,241,188,,,0,SMALL,5942,2002,37,AF,Y,SL-12 DEB,2002-037AF,28730
1992-047V,28586,DEBRIS,SL-12 DEB,CIS,1992-07-30,TTMTR,2005-09-02,138.99,66.62,4850,170,,,0,,5799,1992,47,V,Y,SL-12 DEB,1992-047V,28586
1990-101A,20949,PAYLOAD,MOLNIYA 1-79,CIS,1990-11-23,PKMTR,2005-08-30,88.47,62.39,340,57,,,0,LARGE,6281,1990,101,A,Y,MOLNIYA 1-79,1990-101A,20949
2005-007C,28547,PAYLOAD,TNS-0,CIS,2005-02-28,TTMTR,2005-08-30,87.26,51.6,145,132,,,0,SMALL,5942,2005,7,C,Y,TNS-0,2005-007C,28547
2005-033B,28825,DEBRIS,CZ-2D DEB,PRC,2005-08-29,JSC,2005-08-30,88.55,62.97,225,181,,,0,MEDIUM,5942,2005,33,B,Y,CZ-2D DEB,2005-033B,28825
2005-033C,28826,DEBRIS,CZ-2D DEB,PRC,2005-08-29,JSC,2005-08-30,88.15,62.89,199,167,,,0,SMALL,5942,2005,33,C,Y,CZ-2D DEB,2005-033C,28826
2002-037AQ,28745,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-08-27,88.66,63.93,246,171,,,0,SMALL,5942,2002,37,AQ,Y,SL-12 DEB,2002-037AQ,28745
1977-065FG,14491,DEBRIS,DELTA 1 DEB,US,1977-07-14,AFETR,2005-08-26,90.89,29.08,330,307,,,0,SMALL,5942,1977,65,FG,Y,DELTA 1 DEB,1977-065FG,14491
1998-067AG,28792,DEBRIS,ISS DEB,ISS,1998-11-20,TTMTR,2005-08-24,89.74,51.63,263,260,,,0,MEDIUM,5942,1998,67,AG,Y,ISS DEB,1998-067AG,28792
2005-024E,28741,DEBRIS,CZ-2D DEB,PRC,2005-07-05,JSC,2005-08-23,90.91,97.45,400,239,,,0,SMALL,5799,2005,24,E,Y,CZ-2D DEB,2005-024E,28741
2002-037BL,28765,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-08-22,88.74,63.77,241,183,,,0,SMALL,5942,2002,37,BL,Y,SL-12 DEB,2002-037BL,28765
1970-025JJ,5064,DEBRIS,THORAD AGENA D DEB,US,1970-04-08,AFWTR,2005-08-20,89.36,99.64,261,224,,,0,SMALL,5942,1970,25,JJ,Y,THORAD AGENA D DEB,1970-025JJ,5064
2002-037BP,28768,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-08-18,89.69,63.55,308,211,,,0,SMALL,5942,2002,37,BP,Y,SL-12 DEB,2002-037BP,28768
2005-017D,28652,DEBRIS,PSLV DEB,IND,2005-05-05,SRI,2005-08-18,96.07,97.64,614,526,,,0,SMALL,5799,2005,17,D,Y,PSLV DEB,2005-017D,28652
2002-037AB,28726,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-08-17,88.8,63.67,245,185,,,0,SMALL,5942,2002,37,AB,Y,SL-12 DEB,2002-037AB,28726
2005-027B,28777,ROCKET BODY,CZ-2C R/B,PRC,2005-08-02,JSC,2005-08-16,87.28,62.99,160,120,,,0,LARGE,5942,2005,27,B,Y,CZ-2C R/B,2005-027B,28777
2005-026A,28775,PAYLOAD,STS 114,US,2005-07-26,AFETR,2005-08-09,91.16,51.64,350,313,,,0,LARGE,5942,2005,26,A,Y,STS 114,2005-026A,28775
1998-077J,25601,ROCKET BODY,SL-12 R/B(AUX MOTOR),CIS,1998-12-30,TTMTR,2005-08-09,90.88,63.81,532,103,,,0,MEDIUM,5942,1998,77,J,Y,SL-12 R/B(AUX MOTOR),1998-077J,25601
2004-015E,28241,ROCKET BODY,SL-12 R/B(AUX MOTOR),CIS,2004-04-26,TTMTR,2005-08-07,89.38,47.06,393,95,,,0,MEDIUM,5942,2004,15,E,Y,SL-12 R/B(AUX MOTOR),2004-015E,28241
2002-037BT,28772,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-08-05,89.84,63.46,283,250,,,0,SMALL,5942,2002,37,BT,Y,SL-12 DEB,2002-037BT,28772
2005-027E,28780,DEBRIS,CZ-2C DEB,PRC,2005-08-02,JSC,2005-08-04,89.14,63.34,316,147,,,0,SMALL,5942,2005,27,E,Y,CZ-2C DEB,2005-027E,28780
2005-027F,28781,DEBRIS,CZ-2C DEB,PRC,2005-08-02,JSC,2005-08-04,89.41,63.22,338,153,,,0,SMALL,5942,2005,27,F,Y,CZ-2C DEB,2005-027F,28781
2005-027G,28782,DEBRIS,CZ-2C DEB,PRC,2005-08-02,JSC,2005-08-04,89.19,62.71,318,151,,,0,SMALL,5942,2005,27,G,Y,CZ-2C DEB,2005-027G,28782
2005-027H,28783,DEBRIS,CZ-2C DEB,PRC,2005-08-02,JSC,2005-08-04,88.99,62.68,306,143,,,0,SMALL,5942,2005,27,H,Y,CZ-2C DEB,2005-027H,28783
2005-027J,28784,DEBRIS,CZ-2C DEB,PRC,2005-08-02,JSC,2005-08-04,88.6,62.74,281,130,,,0,,433,2005,27,J,Y,CZ-2C DEB,2005-027J,28784
2002-037BB,28756,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-08-03,87.53,63.91,167,138,,,0,SMALL,5942,2002,37,BB,Y,SL-12 DEB,2002-037BB,28756
2005-027C,28778,DEBRIS,CZ-2C DEB,PRC,2005-08-02,JSC,2005-08-03,88.33,62.99,252,132,,,0,SMALL,5942,2005,27,C,Y,CZ-2C DEB,2005-027C,28778
2005-027D,28779,DEBRIS,CZ-2C DEB,PRC,2005-08-02,JSC,2005-08-03,87.36,62.98,172,115,,,0,MEDIUM,5942,2005,27,D,Y,CZ-2C DEB,2005-027D,28779
2002-037AD,28728,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-08-02,88.76,63.67,243,184,,,0,SMALL,5942,2002,37,AD,Y,SL-12 DEB,2002-037AD,28728
2002-037AR,28746,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-08-02,89.99,64.01,307,240,,,0,SMALL,5942,2002,37,AR,Y,SL-12 DEB,2002-037AR,28746
1975-052DY,21440,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,2005-07-31,91,100.61,341,307,,,0,SMALL,5942,1975,52,DY,Y,DELTA 1 DEB,1975-052DY,21440
2005-020D,28694,DEBRIS,FOTON-M2 DEB,CIS,2005-05-31,TTMTR,2005-07-30,87.36,62.96,149,138,,,0,LARGE,6531,2005,20,D,Y,FOTON-M2 DEB,2005-020D,28694
2002-037Z,28724,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-07-28,88.7,63.7,240,180,,,0,SMALL,5942,2002,37,Z,Y,SL-12 DEB,2002-037Z,28724
2002-037BH,28762,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-07-27,89.55,63.41,304,201,,,0,SMALL,5942,2002,37,BH,Y,SL-12 DEB,2002-037BH,28762
2001-049NJ,27591,DEBRIS,PSLV DEB,IND,2001-10-22,SRI,2005-07-25,88.44,97.94,203,192,,,0,SMALL,5942,2001,49,NJ,Y,PSLV DEB,2001-049NJ,27591
1992-047AA,28677,DEBRIS,SL-12 DEB,CIS,1992-07-30,TTMTR,2005-07-22,90.5,63.78,398,200,,,0,SMALL,5942,1992,47,AA,Y,SL-12 DEB,1992-047AA,28677
2002-037BE,28759,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-07-22,87.75,63.17,266,60,,,0,SMALL,5942,2002,37,BE,Y,SL-12 DEB,2002-037BE,28759
2001-049BN,27118,DEBRIS,PSLV DEB,IND,2001-10-22,SRI,2005-07-22,88,97.72,185,166,,,0,SMALL,5942,2001,49,BN,Y,PSLV DEB,2001-049BN,27118
2000-055B,27477,DEBRIS,NOAA 16 DEB,US,2000-09-21,AFWTR,2005-07-15,90.01,98.76,284,265,,,0,SMALL,5942,2000,55,B,Y,NOAA 16 DEB,2000-055B,27477
2002-037BF,28760,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-07-15,89.65,63.7,301,213,,,0,SMALL,5942,2002,37,BF,Y,SL-12 DEB,2002-037BF,28760
2002-037BN,28767,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-07-15,89.65,63.71,325,189,,,0,SMALL,5942,2002,37,BN,Y,SL-12 DEB,2002-037BN,28767
1991-075H,27672,DEBRIS,ARIANE 44L DEB,FR,1991-10-29,FRGUI,2005-07-14,125.68,7.78,3703,163,,,0,MEDIUM,5942,1991,75,H,Y,ARIANE 44L DEB,1991-075H,27672
2002-037BG,28761,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-07-13,90.62,64.59,407,203,,,0,,425,2002,37,BG,Y,SL-12 DEB,2002-037BG,28761
2002-037AS,28747,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-07-12,90.51,63.68,387,212,,,0,SMALL,6978,2002,37,AS,Y,SL-12 DEB,2002-037AS,28747
2002-037AU,28749,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-07-10,93.6,63.72,699,202,,,0,,422,2002,37,AU,Y,SL-12 DEB,2002-037AU,28749
2002-037BQ,28769,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-07-10,93.5,63.64,685,207,,,0,,422,2002,37,BQ,Y,SL-12 DEB,2002-037BQ,28769
2002-037X,28722,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-07-07,90.72,63.55,350,270,,,0,SMALL,5942,2002,37,X,Y,SL-12 DEB,2002-037X,28722
2005-018B,28655,ROCKET BODY,DELTA 2 R/B,US,2005-05-20,AFWTR,2005-07-05,87.35,103.53,161,125,,,0,LARGE,5942,2005,18,B,Y,DELTA 2 R/B,2005-018B,28655
1995-058K,28293,DEBRIS,SL-16 DEB,CIS,1995-10-31,TTMTR,2005-07-04,90.4,70.95,312,277,,,0,SMALL,5942,1995,58,K,Y,SL-16 DEB,1995-058K,28293
2002-037W,28721,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-07-04,94.82,63.48,710,310,,,0,,6929,2002,37,W,Y,SL-12 DEB,2002-037W,28721
2005-020F,28696,DEBRIS,FOTON-M2 DEB,CIS,2005-05-31,TTMTR,2005-07-02,87.72,62.95,177,146,,,0,MEDIUM,6531,2005,20,F,Y,FOTON-M2 DEB,2005-020F,28696
2005-020J,28699,DEBRIS,FOTON-M2 DEB,CIS,2005-05-31,TTMTR,2005-07-02,88.54,63.04,237,168,,,0,SMALL,6531,2005,20,J,Y,FOTON-M2 DEB,2005-020J,28699
1982-095D,13591,ROCKET BODY,SL-6 R/B(2),CIS,1982-09-22,PKMTR,2005-07-02,95.51,60.91,998,88,,,0,LARGE,5942,1982,95,D,Y,SL-6 R/B(2),1982-095D,13591
2005-023E,28711,DEBRIS,SL-12 DEB,CIS,2005-06-24,TTMTR,2005-07-02,90.2,51.7,395,173,,,0,SMALL,5942,2005,23,E,Y,SL-12 DEB,2005-023E,28711
2005-023J,28714,DEBRIS,SL-12 DEB,CIS,2005-06-24,TTMTR,2005-07-01,89.16,51.64,307,159,,,0,SMALL,6978,2005,23,J,Y,SL-12 DEB,2005-023J,28714
2005-023D,28710,DEBRIS,SL-12 DEB,CIS,2005-06-24,TTMTR,2005-06-30,89.32,51.59,319,163,,,0,SMALL,5942,2005,23,D,Y,SL-12 DEB,2005-023D,28710
2002-037P,28705,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-06-30,91.53,63.65,441,259,,,0,,413,2002,37,P,Y,SL-12 DEB,2002-037P,28705
2002-037Q,28715,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-06-30,92.47,63.67,548,242,,,0,,413,2002,37,Q,Y,SL-12 DEB,2002-037Q,28715
2002-037R,28716,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-06-30,94.12,63.66,689,263,,,0,,413,2002,37,R,Y,SL-12 DEB,2002-037R,28716
2002-037S,28717,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-06-30,95.59,63.65,829,266,,,0,,413,2002,37,S,Y,SL-12 DEB,2002-037S,28717
2002-037T,28718,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-06-30,91.78,63.66,511,213,,,0,,413,2002,37,T,Y,SL-12 DEB,2002-037T,28718
2002-037U,28719,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-06-30,92.61,63.65,528,277,,,0,,413,2002,37,U,Y,SL-12 DEB,2002-037U,28719
2002-037V,28720,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-06-30,91.89,63.61,454,280,,,0,,413,2002,37,V,Y,SL-12 DEB,2002-037V,28720
2002-037Y,28723,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-06-30,92.46,63.66,513,278,,,0,,413,2002,37,Y,Y,SL-12 DEB,2002-037Y,28723
2005-020E,28695,DEBRIS,FOTON-M2 DEB,CIS,2005-05-31,TTMTR,2005-06-28,88.15,62.85,197,169,,,0,MEDIUM,6531,2005,20,E,Y,FOTON-M2 DEB,2005-020E,28695
2005-023B,28708,ROCKET BODY,SL-12 R/B(1),CIS,2005-06-24,TTMTR,2005-06-27,87.05,51.62,133,123,,,0,LARGE,5942,2005,23,B,Y,SL-12 R/B(1),2005-023B,28708
1976-022B,8745,ROCKET BODY,SL-8 R/B,CIS,1976-03-12,PKMTR,2005-06-26,87.51,82.85,163,139,,,0,LARGE,5942,1976,22,B,Y,SL-8 R/B,1976-022B,8745
2005-023C,28709,DEBRIS,SL-12 PLAT,CIS,2005-06-24,TTMTR,2005-06-25,87.2,51.57,158,113,,,0,LARGE,5942,2005,23,C,Y,SL-12 PLAT,2005-023C,28709
1992-047AE,28681,DEBRIS,SL-12 DEB,CIS,1992-07-30,TTMTR,2005-06-24,254.25,66.8,13621,212,,,0,MEDIUM,5942,1992,47,AE,Y,SL-12 DEB,1992-047AE,28681
2005-020B,28687,ROCKET BODY,SL-4 R/B,CIS,2005-05-31,TTMTR,2005-06-24,87.41,63,155,138,,,0,LARGE,6531,2005,20,B,Y,SL-4 R/B,2005-020B,28687
1977-027E,10946,DEBRIS,COSMOS 903 DEB,CIS,1977-04-11,PKMTR,2005-06-24,90.9,61.63,549,89,,,0,MEDIUM,5942,1977,27,E,Y,COSMOS 903 DEB,1977-027E,10946
2005-001C,28519,ROCKET BODY,DELTA 2 R/B(1),US,2005-01-12,AFETR,2005-06-20,87.63,23.91,198,117,,,0,LARGE,5942,2005,1,C,Y,DELTA 2 R/B(1),2005-001C,28519
2001-049LB,27330,DEBRIS,PSLV DEB,IND,2001-10-22,SRI,2005-06-20,88.57,97.66,214,194,,,0,SMALL,5942,2001,49,LB,Y,PSLV DEB,2001-049LB,27330
1964-049S,27861,DEBRIS,COSMOS 41 DEB,CIS,1964-08-22,TTMTR,2005-06-19,103.88,64.5,1750,134,,,0,SMALL,5942,1964,49,S,Y,COSMOS 41 DEB,1964-049S,27861
1991-082BL,28347,DEBRIS,DMSP 5D-2 F11 DEB,US,1991-11-28,AFWTR,2005-06-19,92.65,98.63,496,313,,,0,SMALL,5942,1991,82,BL,Y,DMSP 5D-2 F11 DEB,1991-082BL,28347
2005-021B,28701,ROCKET BODY,SL-4 R/B,CIS,2005-06-16,TTMTR,2005-06-19,87.21,51.65,138,134,,,0,LARGE,5942,2005,21,B,Y,SL-4 R/B,2005-021B,28701
2005-020G,28697,DEBRIS,FOTON-M2 DEB,CIS,2005-05-31,TTMTR,2005-06-19,89.54,62.94,287,217,,,0,MEDIUM,6978,2005,20,G,Y,FOTON-M2 DEB,2005-020G,28697
2005-020H,28698,DEBRIS,FOTON-M2 DEB,CIS,2005-05-31,TTMTR,2005-06-17,89.23,62.88,252,220,,,0,,6531,2005,20,H,Y,FOTON-M2 DEB,2005-020H,28698
1991-082Y,28311,DEBRIS,DMSP 5D-2 F11 DEB,US,1991-11-28,AFWTR,2005-06-17,93.2,98.57,459,404,,,0,SMALL,5942,1991,82,Y,Y,DMSP 5D-2 F11 DEB,1991-082Y,28311
2005-007A,28624,PAYLOAD,PROGRESS-M 52,CIS,2005-02-28,TTMTR,2005-06-16,91.55,51.64,353,348,,,0,LARGE,6978,2005,7,A,Y,PROGRESS-M 52,2005-007A,28624
2005-020A,28686,PAYLOAD,FOTON-M2,CIS,2005-05-31,TTMTR,2005-06-16,89.9,62.96,284,255,,,0,LARGE,6531,2005,20,A,Y,FOTON-M2,2005-020A,28686
2002-037N,28693,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-06-15,92.56,63.43,536,264,,,0,SMALL,6978,2002,37,N,Y,SL-12 DEB,2002-037N,28693
1971-003A,4849,PAYLOAD,METEOR 1-7,CIS,1971-01-20,PKMTR,2005-06-14,87.35,81.18,152,135,,,0,LARGE,5942,1971,3,A,Y,METEOR 1-7,1971-003A,4849
2005-020C,28688,DEBRIS,SL-4 DEB,CIS,2005-05-31,TTMTR,2005-06-13,88.5,62.95,204,196,,,0,SMALL,6531,2005,20,C,Y,SL-4 DEB,2005-020C,28688
1980-030N,11781,DEBRIS,COSMOS 1174 DEB,CIS,1980-04-18,TTMTR,2005-06-12,87.84,66.16,181,154,,,0,SMALL,5942,1980,30,N,Y,COSMOS 1174 DEB,1980-030N,11781
1999-057X,26135,DEBRIS,CZ-4 DEB,PRC,1999-10-14,TSC,2005-06-07,88.24,98.6,201,174,,,0,MEDIUM,5942,1999,57,X,Y,CZ-4 DEB,1999-057X,26135
2002-037M,28692,DEBRIS,SL-12 DEB,CIS,2002-07-25,TTMTR,2005-06-06,95.06,63.8,776,267,,,0,,410,2002,37,M,Y,SL-12 DEB,2002-037M,28692
